name,url,born,teams,first_class.average,first_class.balls_faced,first_class.boundaries,first_class.catches_taken,first_class.fifties,first_class.highest,first_class.hundreds,first_class.inns,first_class.matches,first_class.not_outs,first_class.runs,first_class.sixes,first_class.strike_rate,first_class.stumps
Sayan Mondal,http://www.espncricinfo.com/ci/content/player/433356.html,"November 10, 1989, Burdwan, Bengal ","Bengal,",25.30,1910,104,10,4,135,1,32,18,2,759,1,39.73,0
Kamal Mondal,http://www.espncricinfo.com/ci/content/player/31053.html,"October 4, 1982, Ranaghat, Bengal ","Bengal,",11.00,306,10,5,0,37*,0,10,6,1,99,0,32.35,0
Syed Khaja Moinuddin,http://www.espncricinfo.com/ci/content/player/424171.html,"March 11, 1987, Raichur, Karnataka ",Mangalore United,-,-,-,0,-,-,-,-,1,-,-,-,-,0
Mohsin Mufti,http://www.espncricinfo.com/ci/content/player/950041.html,"December 31, 1990, Anantnag, Jammu, ","Jammu & Kashmir,",9.00,44,4,0,0,13,0,2,1,0,18,0,40.90,0
Mohsin Khan,http://www.espncricinfo.com/ci/content/player/1132005.html,"July 15, 1998, Sambhal, Uttar Pradesh ","Mumbai Indians,",10.40,37,3,1,0,34,0,5,6,0,52,4,140.54,0
Yendluri Premsagar,http://www.espncricinfo.com/ci/content/player/426153.html,"April 5, 1992 ",Andhra,4.33,18,2,0,0,12,0,3,4,0,13,0,72.22,0
Rohan Prem,http://www.espncricinfo.com/ci/content/player/32486.html,"September 13, 1986, Trivandrum (now Thiruvananthapuram), Kerala ","India Green,",40.29,11564,521,41,21,208,12,130,85,14,4674,28,40.41,0
Preeti Bose,http://www.espncricinfo.com/ci/content/player/709843.html,"April 20, 1992, Sonipat, Haryana ","Haryana Women,",-,-,-,0,-,-,-,-,1,-,-,-,-,0
Preetamjit Das,http://www.espncricinfo.com/ci/content/player/237694.html,"November 15, 1986, Rourkela, Orissa ",Orissa,10.10,303,14,1,0,27,0,17,11,7,101,1,33.33,0
Prayash Singh,http://www.espncricinfo.com/ci/content/player/1084428.html,"February 2, 1994, Nuapada, Odisha ",Odisha,13.00,127,6,4,1,51,0,8,11,0,104,6,81.88,0
