name,url,born,teams,first_class
Pratharesh Parmar,http://www.espncricinfo.com/ci/content/player/341158.html,"May 25, 1988, Gandhinagar, Gujarat ",Gujarat,"{'matches': '12', 'inns': '19', 'not_outs': '4', 'runs': '575', 'highest': '67', 'average': '38.33', 'balls_faced': '1546', 'strike_rate': '37.19', 'hundreds': '0', 'fifties': '5', 'boundaries': '53', 'sixes': '4', 'catches_taken': '12', 'stumps': '0'}"
Pankaj Kumar Rao,http://www.espncricinfo.com/ci/content/player/391712.html,"October 19, 1989, Paradi Bobbili ",Madhya Pradesh,"{'matches': '22', 'inns': '33', 'not_outs': '10', 'runs': '106', 'highest': '26', 'average': '4.60', 'balls_faced': '309', 'strike_rate': '34.30', 'hundreds': '0', 'fifties': '0', 'boundaries': '19', 'sixes': '2', 'catches_taken': '5', 'stumps': '0'}"
Sachidanand Pandey,http://www.espncricinfo.com/ci/content/player/1062345.html,"July 1, 1996, Allahabad, Uttar Pradesh ",Services,"{'matches': '21', 'inns': '29', 'not_outs': '16', 'runs': '136', 'highest': '31*', 'average': '10.46', 'balls_faced': '406', 'strike_rate': '33.49', 'hundreds': '0', 'fifties': '0', 'boundaries': '20', 'sixes': '2', 'catches_taken': '6', 'stumps': '0'}"
Lalith Mohan,http://www.espncricinfo.com/ci/content/player/317710.html,"March 19, 1990, Hyderabad ",Hyderabad (India),"{'matches': '25', 'inns': '28', 'not_outs': '11', 'runs': '146', 'highest': '17*', 'average': '8.58', 'balls_faced': '368', 'strike_rate': '39.67', 'hundreds': '0', 'fifties': '0', 'boundaries': '21', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Bharat Loomba,http://www.espncricinfo.com/ci/content/player/340607.html,"October 10, 1987, Ludhiana, Punjab ",Punjab,"{'matches': '3', 'inns': '5', 'not_outs': '1', 'runs': '29', 'highest': '13*', 'average': '7.25', 'balls_faced': '75', 'strike_rate': '38.66', 'hundreds': '0', 'fifties': '0', 'boundaries': '3', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Ankush Lokhande,http://www.espncricinfo.com/ci/content/player/340835.html,"May 9, 1988, Nagpur ",Vidarbha,"{'matches': '2', 'inns': '-', 'not_outs': '-', 'runs': '-', 'highest': '-', 'average': '-', 'balls_faced': '-', 'strike_rate': '-', 'hundreds': '-', 'fifties': '-', 'boundaries': '-', 'sixes': '-', 'catches_taken': '0', 'stumps': '0'}"
Abir Lavasa,http://www.espncricinfo.com/ci/content/player/317294.html,"September 25, 1986, Delhi ",Haryana,"{'matches': '6', 'inns': '9', 'not_outs': '0', 'runs': '254', 'highest': '76', 'average': '28.22', 'balls_faced': '530', 'strike_rate': '47.92', 'hundreds': '0', 'fifties': '2', 'boundaries': '32', 'sixes': '0', 'catches_taken': '2', 'stumps': '0'}"
Qamran Iqbal,http://www.espncricinfo.com/ci/content/player/1169609.html,"October 17, 2001, Srinagar, Kashmir, India ","Jammu & Kashmir Under-16s,","{'matches': '3', 'inns': '6', 'not_outs': '0', 'runs': '171', 'highest': '67', 'average': '28.50', 'balls_faced': '388', 'strike_rate': '44.07', 'hundreds': '0', 'fifties': '2', 'boundaries': '19', 'sixes': '2', 'catches_taken': '2', 'stumps': '0'}"
Sameer Mohanty,http://www.espncricinfo.com/ci/content/player/376438.html,"March 12, 1986, Cuttack, Orissa ",Orissa,"{'matches': '1', 'inns': '2', 'not_outs': '0', 'runs': '6', 'highest': '6', 'average': '3.00', 'balls_faced': '9', 'strike_rate': '66.66', 'hundreds': '0', 'fifties': '0', 'boundaries': '1', 'sixes': '0', 'catches_taken': '1', 'stumps': '0'}"
Nikunj Mohite,http://www.espncricinfo.com/ci/content/player/290714.html,"September 16, 1991, Vadordara ",Baroda,"{'matches': '1', 'inns': '1', 'not_outs': '0', 'runs': '7', 'highest': '7', 'average': '7.00', 'balls_faced': '32', 'strike_rate': '21.87', 'hundreds': '0', 'fifties': '0', 'boundaries': '0', 'sixes': '0', 'catches_taken': '0', 'stumps': '0'}"
